Term;Tag
cool;postivie
oooh;postivie
lel;postivie
great;postivie
lol;postivie
love;postivie
oof;postivie
glad;postivie
favourit;postivie
favorit;postivie
aha;postivie
thank;postivie
good;postivie
xd;postivie
lmao;postivie
ugh;postivie
cute;postivie
noic;postivie
xdd;postivie
best;postivie
omg;postivie
better;postivie
decent;postivie
much;postivie
well;postivie
super;postivie
right;postivie
happi;postivie
nice;postivie
genuin;postivie
humbl;postivie
secretli;neutral
minimint;neutral
what;neutral
dan;neutral
mum;neutral
import;neutral
toby;neutral
mom;neutral
honestli;neutral
memeul;neutral
diss;neutral
shazam;neutral
holi;neutral
messi;neutral
skip;neutral
eldest;neutral
aw;neutral
mill;neutral
sega;neutral
simon;neutral
sorri;neutral
send;neutral
mate;neutral
th;neutral
gacha;neutral
sent;neutral
brown;neutral
liter;neutral
nite;neutral
song;neutral
far;neutral
fat;neutral
vase;neutral
octob;neutral
die;neutral
brother;neutral
quick;neutral
guy;neutral
round;neutral
pleas;neutral
tea;neutral
sign;neutral
past;neutral
second;neutral
video;neutral
spaghetti;neutral
even;neutral
sub;neutral
abl;neutral
sideman;neutral
delet;neutral
new;neutral
net;neutral
ever;neutral
friday;neutral
christian;neutral
lee;neutral
punch;neutral
youngest;neutral
meet;neutral
sing;neutral
strong;neutral
legend;neutral
wait;neutral
boy;neutral
invit;neutral
anymor;neutral
real;neutral
minecraft;neutral
golden;neutral
manni;neutral
vid;neutral
limp;neutral
dantdm;neutral
total;neutral
unit;neutral
highli;neutral
use;neutral
usa;neutral
morgzmum;neutral
univers;neutral
next;neutral
readi;neutral
live;neutral
acc;neutral
preciou;neutral
tay;neutral
oop;neutral
broke;neutral
actual;neutral
hole;neutral
jme;neutral
shoot;neutral
mc;neutral
vr;neutral
wors;neutral
obvious;neutral
morgan;neutral
lazer;neutral
didnt;neutral
explod;neutral
f2;neutral
give;neutral
wank;neutral
slim;neutral
sidemen;neutral
accept;neutral
crazi;neutral
tiktok;neutral
comfort;neutral
alway;neutral
hot;neutral
forest;neutral
eeeeeeeeeee;neutral
updat;neutral
lazarbeam;neutral
bday;neutral
stop;neutral
dive;neutral
upload;neutral
wrong;neutral
birthday;neutral
mad;neutral
beauti;neutral
lesbian;neutral
man;neutral
short;neutral
st;neutral
vikk;neutral
fifa;neutral
banger;neutral
freestyl;neutral
fattest;neutral
wut;neutral
soon;neutral
logan;neutral
hell;neutral
still;neutral
gta;neutral
fit;neutral
funni;neutral
nostalgia;neutral
alli;neutral
late;neutral
stephen;neutral
main;neutral
meridian;neutral
theo;neutral
flex;neutral
yo;neutral
iballisticsquid;neutral
ya;neutral
safe;neutral
ye;neutral
automat;neutral
half;neutral
foot;neutral
ninja;neutral
bigger;neutral
alex;neutral
name;neutral
arrog;neutral
lazar;neutral
februari;neutral
alreadi;neutral
januari;neutral
mean;neutral
weight;neutral
hard;neutral
yeah;neutral
realli;neutral
ball;neutral
forgot;neutral
okay;neutral
girl;neutral
sexual;neutral
saturday;neutral
special;neutral
thirst;neutral
content;neutral
laurenzsid;neutral
rel;neutral
internet;neutral
red;neutral
team;neutral
free;neutral
small;neutral
techno;neutral
themesong;neutral
dictionari;neutral
etern;neutral
underwear;neutral
vidcon;neutral
atl;neutral
deji;neutral
first;neutral
origin;neutral
dont;neutral
obviou;neutral
wash;neutral
badli;negative
worst;negative
never;negative
weird;negative
shite;negative
fuck;negative
unlucki;negative
disappoint;negative
suck;negative
stupid;negative
disrespect;negative
dumb;negative
terribl;negative
sad;negative
morgz;negative
prick;negative
unsub;negative
weak;negative
dislik;negative
duh;negative
noooo;negative
nazi;negative
gross;negative
ughhh;negative
shit;negative
sick;negative
poor;negative
